City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,port elizabeth,0,ZA,clear sky,77,-33.92,25.57,59.0,0.0,0,12.75
1,fairbanks,90,US,overcast clouds,72,64.84,-147.72,64.4,0.0,0,9.17
2,bonga,100,ET,moderate rain,91,7.28,36.23,58.48,2.26,0,2.37
3,yellowknife,20,CA,few clouds,52,62.46,-114.35,73.0,0.0,0,11.41
4,nelson bay,90,AU,overcast clouds,100,-32.72,152.15,51.01,0.0,0,5.82
5,ushuaia,75,AR,shower rain,95,-54.8,-68.3,32.0,0.0,0,6.93
6,busselton,66,AU,broken clouds,80,-33.65,115.33,51.01,0.0,0,4.85
7,truth or consequences,40,US,scattered clouds,22,33.13,-107.25,91.99,0.0,0,17.22
8,pevek,10,RU,clear sky,70,69.7,170.31,44.08,0.0,0,4.41
9,half moon bay,5,US,clear sky,53,37.46,-122.43,79.0,0.0,0,17.22
10,saint-pierre,75,RE,broken clouds,68,-21.34,55.48,66.2,0.0,0,13.87
11,englewood,75,US,broken clouds,11,39.65,-104.99,97.0,0.0,0,8.05
12,shiyan,100,CN,light rain,89,32.65,110.78,68.23,0.32,0,5.06
13,mayo,1,US,clear sky,55,38.89,-76.51,91.4,0.0,0,6.93
14,havre-saint-pierre,75,CA,broken clouds,77,50.23,-63.6,66.2,0.0,0,8.05
15,xining,0,CN,clear sky,78,36.62,101.77,48.83,0.0,0,2.28
16,port-gentil,40,GA,scattered clouds,88,-0.72,8.78,77.0,0.0,0,10.6
17,laguna,1,US,clear sky,26,38.42,-121.42,99.0,0.0,0,6.93
18,sao joao da barra,1,BR,clear sky,71,-21.64,-41.05,69.51,0.0,0,8.12
19,olyka,99,UA,overcast clouds,92,50.72,25.81,63.0,0.0,0,5.93
20,puerto ayora,96,EC,overcast clouds,92,-0.74,-90.35,71.01,0.0,0,4.0
21,hithadhoo,100,MV,light rain,68,-0.6,73.08,82.9,0.11,0,22.1
22,airai,63,TL,broken clouds,54,-8.93,125.41,58.48,0.0,0,2.77
23,adrar,26,MR,scattered clouds,19,20.5,-10.07,96.22,0.0,0,5.01
24,aklavik,90,CA,overcast clouds,81,68.22,-135.01,46.4,0.0,0,8.05
25,tura,100,IN,moderate rain,97,25.52,90.22,75.24,2.2,0,6.69
26,doka,100,SD,overcast clouds,81,13.52,35.77,74.46,0.0,0,13.85
27,kapaa,20,US,few clouds,74,22.08,-159.32,87.01,0.0,0,10.29
28,khoy,0,IR,clear sky,45,38.55,44.95,75.52,0.0,0,1.05
29,kutum,24,SD,few clouds,57,14.2,24.67,76.5,0.0,0,5.3
30,luanda,75,AO,broken clouds,94,-8.84,13.23,69.8,0.0,0,8.05
31,grindavik,75,IS,broken clouds,81,63.84,-22.43,50.0,0.0,0,18.34
32,liuzhou,100,CN,overcast clouds,88,24.31,109.39,79.52,0.0,0,8.88
33,jamestown,1,US,clear sky,61,42.1,-79.24,82.99,0.0,0,5.82
34,saldanha,0,ZA,clear sky,87,-33.01,17.94,50.0,0.0,0,3.36
35,locri,40,IT,scattered clouds,88,38.24,16.26,73.4,0.0,0,2.24
36,vila velha,75,BR,broken clouds,69,-20.33,-40.29,73.4,0.0,0,4.7
